gen	nevals	Avg   	Std    	Min	Max
630	66    	96.67 	15.2316	87 	135
631	69    	92.32 	11.8599	87 	130
632	57    	92.28 	11.4071	87 	127
633	61    	93.8  	13.4179	87 	134
634	54    	92.17 	12.0616	87 	130
635	61    	90.64 	10.0613	87 	129
636	46    	92.64 	12.4254	87 	131
637	57    	91.84 	11.495 	87 	129
638	60    	93.84 	12.9728	87 	134
639	68    	93.9  	13.7728	87 	130
640	63    	94.12 	13.1059	87 	133
641	64    	93.44 	13.2418	87 	138
642	55    	92.97 	12.0395	87 	124
643	61    	92.42 	12.3468	87 	129
644	57    	92.81 	12.6473	87 	132
645	56    	93.79 	13.2297	87 	132
646	55    	90.85 	10.167 	87 	124
647	51    	93.88 	13.2968	87 	131
648	64    	94.24 	13.9572	87 	133
649	63    	94.68 	14.2758	87 	134
650	67    	93.31 	12.5926	87 	131
651	70    	95.53 	14.5688	87 	139
652	58    	95.84 	13.8915	87 	134
653	65    	94.24 	12.4805	87 	124
654	51    	93.98 	12.9453	87 	136
655	66    	94.72 	14.4652	87 	142
656	55    	93.9  	13.0442	87 	131
657	64    	92.06 	11.5964	87 	133
658	69    	94.61 	13.0291	87 	130
659	61    	95.39 	13.7549	86 	126
660	67    	91.79 	10.7771	86 	126
661	65    	93.23 	12.3692	87 	132
662	60    	92.36 	11.8436	87 	132
663	57    	94.28 	12.8888	87 	125
664	55    	91.91 	11.1491	87 	127
665	54    	90.99 	10.6363	87 	131
666	47    	91.89 	11.4873	87 	133
667	53    	92.89 	12.5522	87 	134
668	56    	92.74 	12.1545	87 	128
669	59    	92.17 	11.3129	87 	127
670	60    	90.26 	9.67742	87 	131
671	65    	93.86 	13.228 	87 	134
672	65    	94.28 	13.2846	87 	129
673	64    	93.19 	12.1513	87 	133
674	58    	91.73 	11.0144	87 	130
675	55    	91.67 	11.1902	87 	130
676	55    	92.23 	11.2471	87 	127
677	58    	91.56 	11.1394	87 	133
678	55    	93.52 	13.1533	87 	138
679	54    	95.21 	13.8053	87 	127
680	61    	95.47 	14.3251	87 	128
681	66    	92.8  	12.3061	87 	135
682	63    	93.27 	12.821 	87 	132
683	58    	93.13 	11.9864	87 	128
684	69    	93.95 	12.9887	87 	128
685	67    	93.98 	13.3214	87 	132
686	60    	94.36 	14.5358	87 	152
687	57    	95.07 	13.8234	87 	132
688	59    	92.74 	12.0827	87 	136
689	58    	92.33 	11.5793	87 	129
690	56    	92.23 	12.2048	87 	132
691	53    	92.33 	11.8778	87 	131
692	59    	95.7  	14.5681	87 	130
693	51    	91.55 	11.0683	87 	136
694	64    	92.89 	12.3522	87 	127
695	68    	95.08 	14.0162	87 	127
696	58    	93.23 	12.029 	87 	126
697	63    	95.27 	14.1562	87 	133
698	58    	94.84 	14.1264	87 	132
699	56    	92.2  	11.8025	87 	129
700	50    	92.08 	11.1325	87 	129
701	54    	93.17 	12.5132	87 	129
702	55    	92.91 	12.1755	87 	132
703	70    	94.06 	13.3123	87 	136
704	63    	91.85 	10.9831	87 	125
705	73    	93.23 	12.7341	87 	131
706	55    	93.76 	13.3934	87 	130
707	55    	93    	12.973 	87 	135
708	59    	94    	13.3184	87 	126
709	61    	93.46 	13.0747	87 	134
710	61    	91.66 	11.0419	87 	129
711	58    	95.42 	14.023 	87 	129
712	50    	92.52 	12.3818	87 	157
713	48    	93.03 	12.6834	87 	129
714	62    	94.05 	13.604 	87 	138
715	57    	94.61 	14.0449	87 	131
716	59    	94.28 	14.1846	87 	138
717	51    	92.96 	12.5777	87 	129
718	66    	94.55 	13.0487	87 	129
719	45    	90.06 	9.03639	87 	133
720	45    	90.97 	10.3077	87 	125
721	61    	95.18 	13.7371	87 	128
722	54    	91.59 	11.4342	87 	130
723	63    	92.93 	12.0144	87 	123
